Well ID	Time ID	Median C2	Median C3					
104101003	9	25741	17715					
104101104	1	20596	20707					
104101104	2	20314	19738					
104101104	3	20623	20832					
104101104	4	20974	21274					
104101104	5	21905	21876					
104101104	6	22658	22491					
104101104	7	22731	22328					
104101104	8	22119	22576					
104101104	9	23673	23188					
104101105	1	21026	20300					
104101105	2	21087	20297					
104101105	3	21301	21591					
104101105	4	21386	21394					
104101105	5	22128	22399					
104101105	6	22440	22711					
104101105	7	22732	21919					
104101105	8	22999	22648					
104101105	9	23064	22370					
104101106	1	20932	18553					
104101106	2	20384	18881					
104101106	3	20345	18753					
104101106	4	22090	19837					
104101106	5	21552	19476					
104101106	6	21298	19412					
104101106	7	21197	20539					
104101106	8	22701	20385					
104101106	9	22526	20442					
104101110	1	19465	18389					
104101110	2	18363	17970					
104101110	3	18810	18783					
104101110	4	19813	20028					
104101110	5	19250	20127					
104101110	6	19316	20858					
104101110	7	19878	19986					
104101110	8	19913	20497					
104101110	9	20521	20789					
104110105	1	22956	24623					
104110105	2	22345	24366					
104110105	3	21543	23246					
104110105	4	21958	24557					
104110105	5	22469	25844					
104110105	6	22445	25002					
104110105	7	22999	24889					
104110105	8	22542	24831					
104110105	9	22682	24055					
104110107	1	30152	14825					
104110107	2	32246	15394					
104110107	3	33160	15896					
104110107	4	33741	16094					
104110107	5	34412	16324					
104110107	6	35446	16717					
104110107	7	38134	17262					
104110107	8	38279	16992					
104110107	9	39288	16745					
104110108	1	17436	18428					
104110108	2	18617	19025					
104110108	3	18569	19221					
104110108	4	18955	19773					
104110108	5	19435	20377					
104110108	6	19561	20412					
104110108	7	19371	19964					
104110108	8	20406	19742					
104110108	9	19538	20676					
104110109	1	20027	15291					
104110109	2	18450	13601					
104110109	3	17844	14255					
104110109	4	18488	14407					
104110109	5	19711	15149					
104110109	6	19008	14995					
104110109	7	18400	14422					
104110109	9	19087	14626					
104110201	1	23059	22979					
104110201	2	23055	23667					
104110201	3	24208	24184					
104110201	4	25264	25380					
104110201	5	24779	25210					
104110201	6	24371	25812					
104110201	7	26284	26431					
104110201	8	25369	26206					
104110201	9	25476	25536					
104110203	9	21581	16984					
104110204	1	21099	11920					
104110205	1	30449	22087					
104110205	2	28945	22337					
104110205	3	25806	23289					
104110205	4	28119	23582					
104110205	5	29086	23771					
104110205	6	28781	23931					
104110205	7	29061	23453					
104110205	8	30415	23844					
104110205	9	29274	24179					
104110309	1	25646	20456					
104110309	2	25029	21343					
104110309	3	26298	21703					
104110309	4	26157	21989					
104110309	5	27092	21998					
104110309	6	27432	23366					
104110309	7	28410	23176					
104110309	8	27530	22208					
104110309	9	28086	23210					
104110311	1	16980	21651					
104110311	2	17846	21695					
104110311	3	19082	22103					
104110311	4	19848	22717					
104110311	5	18995	22389					
104110311	6	18298	21948					
104110311	7	17919	22975					
104110311	8	19083	23184					
104110311	9	20339	22470					
104110406	1	29207	22096					
104110406	2	22921	13817					
104110406	2	28876	22755					
104110406	3	29683	23750					
104110406	4	32412	24117					
104110406	5	34930	24639					
104110406	6	37328	24585					
104110406	7	38303	24863					
104110406	8	40302	24472					
104110406	9	42367	24601					
104110410	1	19235	13784					
104110410	2	19425	14404					
104110410	3	20160	14679					
104110410	4	21663	15794					
104110410	5	22806	15811					
104110410	6	24218	15992					
104110410	7	25851	15796					
104110410	8	26659	15761					
104110410	8	26290	16079					
104110410	9	25509	15963					
